200931 , "Billie Jean" , "Michael Jackson" , 4:53 , 15 , 10 , "Antwerp" , "Belgium"
200931 , "Crying Lightning" , "Arctic Monkeys" , 3:41 , 16 , 10 , "Antwerp" , "Belgium"
200931 , "This Is The Life" , "Amy Macdonald" , 3:06 , 17 , 9 , "Antwerp" , "Belgium"
200931 , "In My Dreams" , "Eels" , 3:23 , 18 , 9 , "Antwerp" , "Belgium"
200931 , "Notion" , "Kings of Leon" , 3:00 , 19 , 9 , "Antwerp" , "Belgium"
200931 , "Heavy Cross" , "Gossip" , 4:02 , 20 , 9 , "Antwerp" , "Belgium"
200931 , "Alive" , "Pearl Jam" , 6:12 , 1 , 3 , "Charleroi" , "Belgium"
200931 , "Electric Feel" , "MGMT" , 3:49 , 2 , 3 , "Charleroi" , "Belgium"
200931 , "Serve The Servants" , "Nirvana" , 3:37 , 3 , 3 , "Charleroi" , "Belgium"
200931 , "Roadhouse Blues" , "The Doors" , 3:41 , 4 , 3 , "Charleroi" , "Belgium"
200931 , "Sour Times" , "Portishead" , 4:14 , 5 , 3 , "Charleroi" , "Belgium"
200931 , "Have You Ever" , "The Offspring" , 3:55 , 6 , 3 , "Charleroi" , "Belgium"
200931 , "Just Like Heaven" , "The Cure" , 3:31 , 7 , 3 , "Charleroi" , "Belgium"
200931 , "Perhaps Vampires Is a Bit Strong But..." , "Arctic Monkeys" , 4:29 , 8 , 2 , "Charleroi" , "Belgium"
200931 , "Pale Blue Eyes" , "The Velvet Underground" , 5:37 , 9 , 2 , "Charleroi" , "Belgium"
200931 , "Shut Up And Let Me Go" , "The Ting Tings" , 2:51 , 10 , 2 , "Charleroi" , "Belgium"
200931 , "LoveGame" , "Lady Gaga" , 3:31 , 11 , 2 , "Charleroi" , "Belgium"
200931 , "With A Thousand Words To Say But One" , "Darkest Hour" , 4:22 , 12 , 2 , "Charleroi" , "Belgium"
200931 , "Nightingale" , "Norah Jones" , 4:11 , 13 , 2 , "Charleroi" , "Belgium"
200931 , "Caesar's Palace" , "Morbid Angel" , 6:20 , 14 , 2 , "Charleroi" , "Belgium"
200931 , "The Village of Dwarves" , "Rhapsody" , 3:58 , 15 , 2 , "Charleroi" , "Belgium"
200931 , "New in Town" , "Little Boots" , 3:17 , 16 , 2 , "Charleroi" , "Belgium"
200931 , "Oceans" , "Pearl Jam" , 3:25 , 17 , 2 , "Charleroi" , "Belgium"
200931 , "Next Year" , "Foo Fighters" , 4:36 , 18 , 2 , "Charleroi" , "Belgium"
200931 , "Miasma" , "The Black Dahlia Murder" , 4:40 , 19 , 2 , "Charleroi" , "Belgium"
200931 , "The Living End" , "The Jesus and Mary Chain" , 2:17 , 20 , 2 , "Charleroi" , "Belgium"
200931 , "9 Crimes" , "Damien Rice" , 3:44 , 1 , 4 , "Ghent" , "Belgium"
200931 , "Loomer" , "My Bloody Valentine" , 2:37 , 2 , 4 , "Ghent" , "Belgium"
200931 , "That Look You Give That Guy" , "Eels" , 4:15 , 3 , 3 , "Ghent" , "Belgium"
200931 , "Every Day Is Exactly the Same" , "Nine Inch Nails" , 4:55 , 4 , 3 , "Ghent" , "Belgium"
200931 , "Back of the Van" , "Ladyhawke" , 3:40 , 5 , 3 , "Ghent" , "Belgium"
200931 , "My Delirium" , "Ladyhawke" , 4:15 , 6 , 3 , "Ghent" , "Belgium"
200931 , "When You Sleep" , "My Bloody Valentine" , 4:11 , 7 , 3 , "Ghent" , "Belgium"
200931 , "Sometimes" , "My Bloody Valentine" , 5:18 , 8 , 3 , "Ghent" , "Belgium"
200931 , "Only Shallow" , "My Bloody Valentine" , 4:18 , 9 , 3 , "Ghent" , "Belgium"
200931 , "Your Protector" , "Fleet Foxes" , 4:10 , 10 , 3 , "Ghent" , "Belgium"
200931 , "I Only Said" , "My Bloody Valentine" , 5:33 , 11 , 3 , "Ghent" , "Belgium"
200931 , "Prizefighter" , "Eels" , 2:53 , 12 , 3 , "Ghent" , "Belgium"
200931 , "To Here Knows When" , "My Bloody Valentine" , 5:29 , 13 , 3 , "Ghent" , "Belgium"
200931 , "Touched" , "My Bloody Valentine" , 0:56 , 14 , 3 , "Ghent" , "Belgium"
200931 , "Magic" , "Ladyhawke" , 3:27 , 15 , 2 , "Ghent" , "Belgium"
200931 , "Another Runaway" , "Ladyhawke" , 3:16 , 16 , 2 , "Ghent" , "Belgium"
200931 , "No More Running Away" , "Air Traffic" , 4:21 , 17 , 2 , "Ghent" , "Belgium"
200931 , "Inní mér syngur vitleysingur" , "Sigur Rós" , 3:58 , 18 , 2 , "Ghent" , "Belgium"
200931 , "If The Rain Must Fall" , "James Morrison" , 4:05 , 19 , 2 , "Ghent" , "Belgium"
200931 , "Alleine zu zweit" , "Lacrimosa" , 3:08 , 20 , 2 , "Ghent" , "Belgium"
