201134 , "Did I Let You Know" , "Red Hot Chili Peppers" , 2:55 , 9 , 4 , "Liège" , "Belgium"
201134 , "Little Arithmetics" , "dEUS" , 4:18 , 10 , 4 , "Liège" , "Belgium"
201134 , "Peace Or Violence" , "Stromae" , 3:08 , 11 , 4 , "Liège" , "Belgium"
201134 , "Factory of Faith" , "Red Hot Chili Peppers" , 4:47 , 12 , 4 , "Liège" , "Belgium"
201134 , "Infinity" , "The xx" , 5:14 , 13 , 4 , "Liège" , "Belgium"
201134 , "Happiness Loves Company" , "Red Hot Chili Peppers" , 3:54 , 14 , 4 , "Liège" , "Belgium"
201134 , "Intro" , "The xx" , 2:05 , 15 , 4 , "Liège" , "Belgium"
201134 , "Police Station" , "Red Hot Chili Peppers" , 4:05 , 16 , 4 , "Liège" , "Belgium"
201134 , "Let's Go Surfing" , "The Drums" , 2:53 , 17 , 4 , "Liège" , "Belgium"
201134 , "Look Around" , "Red Hot Chili Peppers" , 4:01 , 18 , 4 , "Liège" , "Belgium"
201134 , "Monarchy of Roses" , "Red Hot Chili Peppers" , 3:59 , 19 , 4 , "Liège" , "Belgium"
201134 , "Time Is Running Out" , "Muse" , 3:56 , 20 , 4 , "Liège" , "Belgium"
201134 , "Set Fire to the Rain" , "Adele" , 4:01 , 1 , 47 , "Brussels" , "Belgium"
201134 , "Somebody That I Used to Know" , "Gotye" , 4:05 , 2 , 45 , "Brussels" , "Belgium"
201134 , "Rolling in the Deep" , "Adele" , 3:46 , 3 , 42 , "Brussels" , "Belgium"
201134 , "Eyes Wide Open" , "Gotye" , 3:11 , 4 , 38 , "Brussels" , "Belgium"
201134 , "Someone Like You" , "Adele" , 4:44 , 5 , 38 , "Brussels" , "Belgium"
201134 , "Perth" , "Bon Iver" , 4:21 , 6 , 37 , "Brussels" , "Belgium"
201134 , "Riverside" , "Agnes Obel" , 3:46 , 7 , 35 , "Brussels" , "Belgium"
201134 , "Calgary" , "Bon Iver" , 4:09 , 8 , 35 , "Brussels" , "Belgium"
201134 , "Minnesota, WI" , "Bon Iver" , 3:48 , 9 , 35 , "Brussels" , "Belgium"
201134 , "Pumped Up Kicks" , "Foster the People" , 4:00 , 10 , 34 , "Brussels" , "Belgium"
201134 , "Towers" , "Bon Iver" , 3:05 , 11 , 33 , "Brussels" , "Belgium"
201134 , "Crystalised" , "The xx" , 3:22 , 12 , 33 , "Brussels" , "Belgium"
201134 , "Holocene" , "Bon Iver" , 5:32 , 13 , 31 , "Brussels" , "Belgium"
201134 , "Easy Way Out" , "Gotye" , 1:57 , 14 , 31 , "Brussels" , "Belgium"
201134 , "Teardrop" , "Massive Attack" , 5:30 , 15 , 31 , "Brussels" , "Belgium"
201134 , "Flume" , "Bon Iver" , 3:33 , 16 , 30 , "Brussels" , "Belgium"
201134 , "Monarchy of Roses" , "Red Hot Chili Peppers" , 3:59 , 17 , 30 , "Brussels" , "Belgium"
201134 , "Smoke And Mirrors" , "Gotye" , 5:13 , 18 , 29 , "Brussels" , "Belgium"
201134 , "All My Life" , "Foo Fighters" , 4:23 , 19 , 29 , "Brussels" , "Belgium"
201134 , "I Feel Better" , "Gotye" , 3:18 , 20 , 29 , "Brussels" , "Belgium"
201134 , "Flume" , "Bon Iver" , 3:33 , 1 , 7 , "Antwerp" , "Belgium"
201134 , "Someone Like You" , "Adele" , 4:44 , 2 , 7 , "Antwerp" , "Belgium"
201134 , "Use Somebody" , "Kings of Leon" , 3:50 , 3 , 7 , "Antwerp" , "Belgium"
201134 , "Rolling in the Deep" , "Adele" , 3:46 , 4 , 6 , "Antwerp" , "Belgium"
201134 , "Lived in Bars" , "Cat Power" , 3:41 , 5 , 6 , "Antwerp" , "Belgium"
201134 , "Calgary" , "Bon Iver" , 4:09 , 6 , 6 , "Antwerp" , "Belgium"
201134 , "Riverside" , "Agnes Obel" , 3:46 , 7 , 6 , "Antwerp" , "Belgium"
201134 , "The Hellcat Spangled Shalalala" , "Arctic Monkeys" , 2:57 , 8 , 6 , "Antwerp" , "Belgium"
201134 , "Living Proof" , "Cat Power" , 3:10 , 9 , 6 , "Antwerp" , "Belgium"
201134 , "Walk" , "Foo Fighters" , 4:16 , 10 , 6 , "Antwerp" , "Belgium"
201134 , "Empty Shell" , "Cat Power" , 3:02 , 11 , 6 , "Antwerp" , "Belgium"
201134 , "Don't Sit Down 'Cause I've Moved Your Chair" , "Arctic Monkeys" , 3:03 , 12 , 6 , "Antwerp" , "Belgium"
201134 , "Shewolf" , "Intergalactic Lovers" , 4:12 , 13 , 6 , "Antwerp" , "Belgium"
201134 , "Sex On Fire" , "Kings of Leon" , 3:25 , 14 , 6 , "Antwerp" , "Belgium"
201134 , "Rope" , "Foo Fighters" , 4:18 , 15 , 6 , "Antwerp" , "Belgium"
201134 , "The Greatest" , "Cat Power" , 3:24 , 16 , 6 , "Antwerp" , "Belgium"
201134 , "Crystal Skull" , "Mastodon" , 3:24 , 17 , 5 , "Antwerp" , "Belgium"
201134 , "Blood Bank" , "Bon Iver" , 4:44 , 18 , 5 , "Antwerp" , "Belgium"
201134 , "Man Down" , "Rihanna" , 4:27 , 19 , 5 , "Antwerp" , "Belgium"
201134 , "I Want You" , "Kings of Leon" , 5:06 , 20 , 5 , "Antwerp" , "Belgium"
201134 , "Someone Like You" , "Adele" , 4:44 , 1 , 5 , "Charleroi" , "Belgium"
201134 , "Rolling in the Deep" , "Adele" , 3:46 , 2 , 5 , "Charleroi" , "Belgium"
201134 , "Walk the Fleet Road" , "Editors" , 3:46 , 3 , 3 , "Charleroi" , "Belgium"
201134 , "Set Fire to the Rain" , "Adele" , 4:01 , 4 , 3 , "Charleroi" , "Belgium"
201134 , "The Boxer" , "Editors" , 4:39 , 5 , 3 , "Charleroi" , "Belgium"
201134 , "Bigmouth Strikes Again" , "The Smiths" , 3:13 , 6 , 3 , "Charleroi" , "Belgium"
201134 , "Oxford Comma" , "Vampire Weekend" , 3:14 , 7 , 3 , "Charleroi" , "Belgium"
201134 , "Call Me" , "Blondie" , 3:32 , 8 , 3 , "Charleroi" , "Belgium"
201134 , "Fresh" , "Daft Punk" , 4:03 , 9 , 3 , "Charleroi" , "Belgium"
201134 , "Hush" , "Deep Purple" , 4:25 , 10 , 3 , "Charleroi" , "Belgium"
201134 , "Eat Raw Meat = Blood Drool" , "Editors" , 4:51 , 11 , 3 , "Charleroi" , "Belgium"
201134 , "Payback" , "Attila" , 3:34 , 12 , 2 , "Charleroi" , "Belgium"
201134 , "Don't You Remember" , "Adele" , 4:03 , 13 , 2 , "Charleroi" , "Belgium"
